,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
166,M. Bienvenu,1052585264,UNO,46,R,99,,,,,,,99
167,T. Longoria,1052839574,SJU,284,R,107,93,,,,,,104
168,G. Workman,1052929589,FAMU,166,L,84,62,,,,99,,85
169,C. Trizuto,1052931303,WAG,189,R,86,94,,,,98,,90
170,T. Holiday,1052999653,UNC,36,R,,90,,,,,,90
171,S. Eaves,1053082252,ARK,477,R,112,,82,99,108,,,102
172,T. Lee,1053198924,GTWN,251,R,105,103,,92,,79,,100
173,C. Wilson,1053273414,NWST,80,L,114,,,,127,,,120
174,C. Pleasant,1053304514,UNCW,84,L,,100,,,97,,,98
175,K. Crumpton,1053806629,UNA,234,R,104,109,,,,,,106
176,L. Campbell,1053845539,SDST,198,R,91,85,,,92,,,90
177,L. Morris,1054454637,BEL,374,L,96,102,109,,,94,,98
178,S. Petrocelli,1055105773,DUKE,61,R,91,,,,,100,,96
179,C. Vander-Luitgaren,1055474198,EVAN,278,R,89,104,105,100,,,,100
180,N. Guidas,1055530746,KENT,333,L,98,95,,,,97,,97
181,L. Alagheband,1055940932,HARV,691,L,96,108,103,,104,102,,103
182,D. Brousseau,1055997641,BYU,429,R,96,,,,98,113,114,101
183,E. Rucker,1056340061,GTWN,133,R,97,,,,104,,,99
184,M. Smith,1056444835,CAMP,587,R,110,96,,,,102,,104
185,L. Eisenreich,1056447778,VT,565,R,111,109,101,94,107,103,,106
186,S. Bonilla,1056535322,WAG,153,R,101,88,,,,104,,99
187,C. McFaddin,1056848302,BAY,192,R,92,94,,,,92,,93
188,J. Chiarodo,1056879462,ALA,41,R,100,,,,,,,100
189,A. Pardo,1057076794,NDSU,64,R,98,,,,,,,98
190,N. Bourgeois,1057124410,SEMO,25,R,104,,,,,,,104
191,M. Murphy,1057259236,SHSU,225,R,109,,,,104,95,,106
192,B. Elson,1057375976,FOR,785,L,107,99,95,101,,86,,102
193,T. Todorowski,1058335194,SELA,270,R,98,88,96,,,,,95
