,Pitcher,pitcherId,team,Total,Hand,Stf+ FA,Stf+ SL,Stf+ CU,Stf+ FC,Stf+ SI,Stf+ CH,Stf+ FS,Stuff+
3728,O. Martel,1654077015,ILL,274,R,115,,95,,,,,107
3729,L. Bruno,1654400931,SPC,76,L,101,,,,,,,101
3730,E. Nobles,1655354549,UNCG,255,R,90,85,,,87,87,,88
3731,C. Forester,1655374641,LA S,109,R,102,91,,,,,,99
3732,K. Foulke,1655523288,PEAY,139,L,118,,102,,,,,114
3733,T. Avery,1655626089,NICH,358,R,98,93,,104,100,,,99
3734,D. Baker,1655879157,WM,179,R,101,,,,,,,101
3735,Z. White,1655987513,BUT,113,R,95,81,,,100,,,92
3736,C. Frey,1655991064,GC,809,L,100,108,,,84,,,100
3737,J. Robertson,1656181137,OHIO,52,R,90,,,,,,,90
3738,N. Finarelli,1656682756,LIU,382,R,91,109,,,,116,,103
3739,S. Novotny,1656795773,SDST,306,R,88,92,88,100,,96,,92
3740,T. Cantrill,1656834418,CARK,39,L,96,,,,,,,96
3741,J. Humphreys,1657057956,WM,169,R,89,95,,,,100,,94
3742,A. Zerr,1657354264,ND,277,R,88,105,,,93,99,,96
3743,M. Johnson,1658141778,SMC,229,R,96,120,,,,,,107
3744,G. Peterson,1658362577,APP,1260,R,110,106,99,,,103,,107
3745,B. Sybirski,1658962509,NJIT,141,R,87,89,94,,,,,89
3746,T. Heflin,1660406214,YSU,396,R,99,96,,,103,92,,99
3747,L. Pratt,1660631843,USM,37,R,97,,,,,,,97
3748,L. Riggs,1660711339,OAK,59,R,83,,,,,,,83
3749,D. Moehler,1660775776,CLEM,184,R,98,,,96,99,97,,98
3750,N. Schutte,1660995022,MURR,1128,R,108,94,85,,115,91,,104
3751,F. Haines,1661090203,RUTG,128,L,116,99,,,,,,111
3752,B. Martino,1661229822,QUC,175,R,92,,91,97,,,,93
3753,M. Hartmann,1661321908,LAM,84,R,86,98,,,,,,94
3754,D. Fry,1662399746,LIU,182,R,88,95,,,,,,91
3755,C. Sunstrom,1662506634,USM,921,R,98,109,,,95,,,102
3756,P. Noonan,1663157001,RAD,276,R,81,86,,,,99,,89
3757,A. Valentin,1663471732,SCAR,844,L,126,106,,,122,96,,112
3758,C. Olson,1663977711,NEB,148,L,108,96,,,,97,,101
3759,T. Cameron,1664054035,FIU,42,R,106,,,,,,,106
3760,B. Littleton,1664212330,USM,147,L,114,112,,,,,,114
3761,J. Mulvehill,1664621602,LEH,437,L,96,97,,,,103,,98
3762,L. Salvesen,1664658590,UTAH,156,L,96,95,,,,,,96
3763,C. Chavez,1665138247,FOR,201,L,98,88,,,,109,,98
3764,N. Kelly,1665188703,FAIR,32,L,86,,,,,,,86
3765,J. Echols,1665460564,FSU,99,R,108,98,,,,,,105
3766,W. Magers,1665927471,CREI,509,R,95,113,,108,99,107,,104
3767,Z. Sohosky,1666151319,M-OH,793,L,97,97,,,101,104,,98
3768,L. Cormier,1666430426,AUB,571,R,119,,107,,,102,,109
3769,C. Kenyan,1666666239,NEOM,128,R,100,110,,,,,,107
3770,K. Reavey,1666883247,ARMY,900,R,97,99,103,101,,104,,99
3771,L. Dellentash,1667130553,SC,59,R,91,,,,,,,91
3772,T. Husar,1667838654,SDST,134,L,86,92,,,,88,,88
3773,C. Taggart,1668388342,DAV,319,L,96,,,,105,114,,104
3774,A. Park,1668839877,BYU,520,R,99,89,95,100,,101,,97
3775,B. Scott,1670669469,JAC,84,R,97,,,100,,,,98
3776,B. Thomas,1670795408,JVST,233,R,113,105,,99,,,,107
3777,C. Seely,1670831815,UVU,255,R,97,108,99,,,,,100
3778,G. Snyder,1671220601,ND,103,R,103,117,,,,,,110
3779,J. Eisiminger,1671377285,M-OH,56,R,98,,,,,,,98
3780,E. Seneres,1671577744,UCSD,99,R,,,,,93,,,93
3781,Z. Toneske,1672272199,SPC,95,R,99,99,,,,,,99
3782,C. Hale,1672335226,CONN,657,R,90,112,,103,,91,,99
3783,M. Johnson,1672343285,WICH,94,L,100,,,,,,,100
3784,T. Weimer,1672354759,ARST,746,R,101,100,107,,,101,,102
3785,R. LaCien,1672380582,ILL,70,R,,,,104,95,,,99
3786,C. Nell,1672717882,LEH,221,R,99,106,,,,,,102
3787,M. Moreno,1672819957,PAC,266,R,93,76,,,,99,,90
3788,A. Damiani,1672916924,NIAG,275,R,111,86,103,,,,,106
3789,J. Buchanan,1673030340,BGSU,153,L,90,,105,,,,,95
3790,R. Sellers,1673170929,NORF,27,R,,,,104,,,,104
3791,P. Berryman,1673355420,BRWN,51,L,112,,,,,,,112
3792,A. DeLeo,1673430667,XAV,34,R,93,,,,,,,93
3793,C. Travers,1673724906,LONG,353,L,104,101,,,120,90,,103
3794,B. Snider,1673815584,SEMO,384,L,106,112,109,,118,88,,105
3795,G. McKay,1674001260,IW,676,L,100,83,,92,94,101,,96
3796,J. Dillard,1674558391,TNTC,25,R,,,94,,,,,94
3797,C. Black,1674945648,NCST,258,R,112,102,,,110,,,107
3798,B. Trosclair,1674977859,NWST,410,L,113,108,139,,,,,112
3799,G. Sansone,1675193289,LIU,34,L,92,,,,,,,92
3800,T. Ziermann,1675560538,UNCW,413,R,114,,111,111,,,,112
3801,A. Wiegandt,1675562712,COFC,226,R,98,101,,,,,,99
3802,T. Bell,1675868562,CLEM,317,L,104,,106,106,,,,105
3803,J. Lafflam,1676076495,ARIZ,331,R,106,117,113,,,,,110
3804,M. Ragusa,1676117647,NCST,106,R,112,,,108,,,,111
3805,S. Droz,1676399105,UMBC,410,R,109,105,,,,100,,106
3806,B. Speicher,1676424871,UMBC,328,R,88,85,,,,86,106,88
3807,J. Jasso,1676441003,CSF,298,R,109,106,,,,103,,107
3808,B. Ferguson,1676523682,IOWA,204,R,114,106,,104,,98,,108
3809,A. Johnson,1676591430,LMU,839,L,102,102,,106,101,106,,103
3810,D. Parker,1676824501,CCAR,414,R,119,,95,,,106,,114
3811,J. Peterson,1676861477,ALST,630,R,95,83,47,,,78,,90
3812,B. Leyboldt,1677306524,VCU,155,L,115,102,,,,,,111
3813,T. Stephenson,1677852617,CHSO,251,R,93,98,,,,97,,95
3814,C. Payne,1678349050,CHSO,226,L,102,98,,,,,,100
3815,G. Brabec,1678815412,GONZ,159,R,86,,,,,105,,97
3816,B. Coon,1678817418,SIUE,249,R,100,,,95,,85,,98
3817,K. Haynes,1679151205,PV,452,L,95,92,,,,86,,94
3818,J. Kuhn,1679457899,HALL,381,R,98,,98,,,119,,103
3819,S. Svenson,1679467779,HALL,698,R,94,101,94,,92,87,,95
3820,L. Rising,1679469739,NE,865,R,112,93,100,,,93,,106
3821,J. Giordano,1679871440,ORST,162,R,124,104,115,,,,,119
3822,C. Samuelson,1680085359,UAB,998,R,100,93,,,105,87,,98
3823,P. Grossman,1680170530,USC,54,L,105,,,,,,,105
3824,E. Freed,1680201090,QUIN,100,R,94,102,,,,,,97
3825,B. Goff,1680711433,UNO,864,L,110,88,98,,,95,,104
3826,Z. Laviage,1681121559,TXSO,89,L,83,87,,,,,,84
3827,S. Okumura,1681252225,ILST,140,R,69,80,,,91,,,80
3828,E. Wagner,1681333598,UNF,29,R,,117,,,,,,117
3829,C. Petersen,1681480159,UOST,243,R,97,100,,106,109,97,,101
3830,T. DeRias,1681579739,MIA,423,R,110,116,,101,,92,,109
3831,J. Alkire,1681872165,HAW,200,R,112,106,,,,,,110
3832,T. Stowe,1682471110,WSU,254,R,109,94,,,,,,104
3833,M. Sall,1682824634,NEOM,543,R,101,93,,88,,97,,97
3834,J. Evans,1683304982,LIB,331,R,99,108,,,,,,105
3835,M. Debiec,1683314270,MICH,299,R,106,,117,,,,,112
3836,C. Aloisio,1683922529,SHSU,274,R,93,,,,85,96,,90
3837,T. Burke,1684014037,GASO,541,L,101,114,114,,,120,,110
3838,C. Ray,1684116267,VALP,101,R,88,93,,,,,,90
3839,T. Paxton,1684934913,ECU,69,R,113,,,,,,,113
3840,C. Maher,1684966330,NE,480,R,107,98,,92,,102,,103
3841,B. Gable,1684975151,HARV,313,L,89,103,103,111,,105,,99
3842,L. Lirette,1685001923,SELA,355,R,105,91,87,,103,94,,99
3843,Q. Finnegan,1685718444,WAG,269,R,90,80,,,,102,,89
3844,J. Middleton,1686388049,USA,255,L,93,107,,,89,103,,99
3845,J. Zimmerman,1686580591,DAY,86,L,94,,,,,,,94
3846,H. Prindl,1686618900,CREI,78,R,113,107,,,,,,111
3847,P. Jezerinac,1686815433,KENN,262,L,101,99,,,,98,,100
3848,J. Sparks,1686853243,INST,135,L,89,101,,,,,,95
3849,G. Kollen,1687097290,PUR,378,R,97,86,,,,101,,97
3850,A. Robertson,1687164421,VT,462,R,112,104,,103,108,94,,106
3851,S. Curtis,1687404091,CARK,95,L,105,107,,,,,,106
3852,N. Bilotto,1687893155,DEL,526,R,95,102,,103,,94,90,96
3853,K. Rogers,1687975850,COFC,495,R,94,104,,,,103,,100
3854,S. Hutto,1688078987,JVST,475,R,90,116,,,87,,,99
3855,D. Russell,1688805267,CAL,103,R,92,108,,,,,,99
3856,X. Salazar,1688945003,LOFL,33,R,84,,,,,,,84
3857,G. Micklinghoff,1689000277,NIU,167,R,90,107,,,,,,97
3858,B. Gould,1689456375,CREI,297,R,99,104,,104,,,,102
3859,S. Christopher,1689571656,WM,226,R,83,105,,,,102,,98
3860,C. Smith,1689777523,CMU,34,R,108,,,,,,,108
3861,N. Baffa,1689778912,VALP,914,R,99,89,90,94,,91,,95
3862,S. Shenosky,1689800810,PSU,28,R,,,,,,132,,132
3863,C. Nowaczyk,1689830342,NEB,157,L,101,108,,,,,,104
3864,C. Underwood,1689868672,GT,381,L,107,104,113,,,,,108
3865,E. Rolison,1690384485,ETSU,332,R,103,103,93,,,112,,104
3866,B. Tapper,1691344323,TROY,371,L,113,,,86,,102,,108
3867,L. ODonnell,1691990270,USF,98,R,127,,,,,,,127
3868,J. Giacomini,1692223779,NEV,688,R,99,115,96,103,,,,102
3869,F. Ramirez,1692306083,LAM,227,R,96,,,103,,102,,99
3870,L. Glidewell,1692575936,MIA,556,R,107,98,,,108,109,,107
3871,N. Harris,1692745387,UK,676,R,109,111,117,100,96,96,,107
3872,L. Haywood,1692770894,STET,234,R,,,,106,88,102,,95
3873,C. Stanford,1693585689,APP,59,R,110,,,,,,,110
3874,L. Grothen,1693744676,CSB,31,R,98,,,,,,,98
3875,F. DeMaro,1693907098,MASSL,228,R,91,87,84,,,,,88
3876,J. Carrasquilla,1694169817,COOK,125,R,92,86,95,,99,,,93
3877,J. Pena,1694230276,TXSO,81,R,96,76,,,,,,87
3878,L. Carrell,1694550974,OSU,336,L,94,103,,,,,,100
3879,S. Sarre,1694755002,MSM,658,L,115,99,,69,,112,,108
3880,B. Quimby,1695112978,USA,238,L,106,109,,,,107,,107
3881,J. Pezzolo,1695862609,UCD,702,L,120,103,,,,103,,114
3882,J. Porter,1696039322,SIND,528,L,105,90,97,,107,100,,100
3883,A. Beversdorf,1696617343,TXST,349,R,98,103,98,,99,,,100
3884,D. Brown,1697038986,RICE,47,L,111,,,,,,,111
3885,H. Lombardi,1697155402,SPC,125,R,86,96,,,,,,92
3886,J. Loren,1697590731,NIU,153,L,101,99,,,,,,101
3887,R. Park,1697605442,UOWG,362,R,81,92,102,95,,99,,92
3888,J. Frohn,1697877942,SDSU,344,R,101,105,,106,,100,,104
3889,T. Bayer,1697984900,KENN,688,R,105,103,,,106,99,,104
3890,P. Bender,1697991916,NEB,248,R,95,106,91,,104,90,,99
3891,A. Sites,1698082052,TOWS,193,R,108,110,97,,,,,105
3892,C. Okada,1698173259,HAW,27,L,86,,,,,,,86
3893,W. Jordan,1698188238,TTU,239,R,96,110,,127,,117,,111
3894,J. Cherena,1698223600,ALCN,354,L,86,82,51,,,81,,80
3895,O. Roberts,1698427054,INST,478,R,94,108,,105,95,96,,98
3896,C. Glauber,1699557365,UNC,1016,R,105,108,,,,111,,107
3897,J. Harper,1700152819,CSF,717,L,124,102,,,,91,,116
3898,H. Slaby,1700317291,EMU,245,R,116,95,,,,,,112
3899,N. Murphy,1700584472,GW,137,L,91,,97,,107,,,97
3900,R. Sams,1701069557,OHIO,150,R,85,82,,,,,,84
3901,J. Hojnowski,1701425190,TOL,428,R,110,96,,,118,,,108
3902,L. Rose,1701515767,MASSL,66,L,88,,,,,91,,89
3903,I. Mowad,1701520795,SJU,792,R,100,94,87,,,103,,97
3904,E. Mcgrew,1701946591,SJSU,231,L,104,97,,,,108,,104
3905,C. Clark,1702000917,APP,106,R,92,102,,102,,,,99
3906,K. Kahalekai,1702128537,LBSU,604,R,115,109,105,,,100,,112
3907,J. Richardson,1702192108,DEL,116,R,110,,,,,,,110
3908,M. Fernandez,1702519794,MIA,77,L,110,,,,,,,110
3909,J. Arnberger,1702605045,WCU,193,L,106,97,,,,97,,102
3910,C. Gutierrez,1702824738,UTSA,348,R,101,81,,,,113,,94
3911,C. Rager,1702846526,OKLA,767,L,116,115,103,92,,101,,111
3912,B. Bosse,1703775938,TAR,189,R,90,108,107,,,,,98
3913,K. Green,1703815225,QUC,261,L,108,111,,,95,,,107
3914,C. Pascarella,1704964028,MONM,241,R,118,91,,,,,,111
3915,A. Hwang,1705092969,YALE,381,R,92,106,103,,96,,,98
3916,P. Rhodes,1705242701,MSST,136,R,105,,112,121,,,,112
3917,M. Hebert,1705490180,FDU,116,R,,100,97,85,,,,93
3918,T. Delaplante,1705761575,ALCN,46,R,110,,,,,,,110
3919,J. Tiw,1705795234,WAG,68,R,83,,,,93,,,87
3920,C. Weber,1706110200,UCSD,89,R,114,,,,,,,114
3921,A. Hansen,1706469926,NCAT,129,R,,99,,94,,,,98
3922,N. Harb,1708575747,NIAG,164,R,96,99,,,,,,97
3923,N. Gisclair,1708802774,SELA,196,R,122,111,,,,,,120
3924,E. Kleinschmit,1709079320,ORST,984,L,124,115,,115,,108,,120
3925,J. Zawatsky,1709128819,MASSL,61,R,88,89,,,,,,88
3926,E. Tyndall,1709408627,VMI,562,R,86,79,,,106,,,93
3927,J. Rusinek,1709820657,TTU,262,L,106,94,,,,97,,103
3928,T. Roman,1710566033,ULL,1258,L,112,104,107,,,111,,110
3929,D. Lebron,1710603878,MURR,223,R,85,105,107,,,,,100
3930,M. Bianchini,1711150284,SCUS,477,R,96,105,,112,105,,,102
3931,J. Beasley,1711291291,PRIN,599,R,94,95,,,,116,,97
3932,D. Lewis,1711485019,KSU,55,R,111,108,,,,,,110
3933,T. Hayes Jr.,1711619687,MISS,213,R,107,,,96,,,,102
3934,H. Zatkowski,1711965277,UVA,1118,L,112,116,,88,108,90,,105
3935,A. Louis,1712018881,PORT,170,L,107,94,,,,98,,103
3936,B. Intagliata,1712231562,UTU,96,L,86,,101,,,,,92
3937,P. Galvin,1712310079,SEA,57,R,103,,,,,,,103
3938,B. Rumpf,1713123649,ME,283,R,99,115,,111,87,106,,105
3939,A. Garcia,1713298155,UTRGV,474,R,94,104,111,97,,110,,101
3940,A. Everson,1713354816,MSU,156,R,,88,,,92,,,90
3941,T. Patterson,1713704850,UNA,1045,L,95,88,,,107,97,105,95
3942,B. Stone,1713770973,SCAR,869,R,103,108,,103,108,102,,106
3943,K. Zagar,1714291584,OKST,31,L,90,,,,,,,90
3944,L. DAncona,1714664473,BC,402,R,96,99,93,107,,,,98
3945,E. Solem,1715476058,UCD,341,R,96,112,,,,,,103
3946,R. Zamora,1715526878,OSU,522,R,102,94,102,106,,,,102
3947,C. Reed,1715618140,TXSO,73,R,79,,,,,86,,82
3948,C. Levonas,1716303827,WAKE,980,R,118,113,105,103,,92,,110
3949,D. Petrey,1716303881,SIU,480,R,95,94,98,,,87,,95
3950,B. Blum,1717517136,DEL,173,R,102,101,94,,,101,,100
3951,G. Adams,1717636795,FIU,724,L,102,101,90,,,111,,103
3952,A. Hayse,1717694214,MER,192,R,108,110,,,,,,109
3953,A. Baker,1717727101,CHAR,112,R,99,,104,106,,,,102
3954,L. Collera,1717764473,MIA,1053,R,107,110,109,,,110,,108
3955,Y. Castro,1717849627,ALCN,233,R,91,81,,,,93,,88
3956,A. West,1717852030,UNCG,384,R,88,97,,,,104,,94
3957,C. Harrington,1718218142,LIB,663,R,111,84,,,,90,,100
3958,M. Salicco,1718532317,HP,162,R,85,91,,,96,,,91
3959,J. Trenerry,1719776460,PUR,199,R,100,,,,92,103,,96
3960,R. Mejia,1719827370,DSU,52,R,84,,,,,,,84
3961,A. Marble,1721986597,SAM,472,R,97,77,,,,118,,103
3962,L. Borboa,1722269993,UNCO,176,R,91,101,,103,,,,98
3963,D. Costa,1722813797,MORE,522,R,107,109,,,121,,,109
3964,C. Appenzeller,1722877754,TENN,751,L,113,104,103,,130,97,,111
3965,R. Penney,1723175268,PRIN,439,R,91,,92,,93,101,101,95
3966,M. McClaskey,1723380025,GONZ,412,R,114,106,,,,,,110
3967,C. Eaton,1723611239,ETSU,172,R,96,102,,,,89,,97
3968,C. Mondey,1723934225,SHSU,193,R,96,,98,,,,,97
3969,A. Grant,1724267985,NW,387,L,101,108,,,,,,104
3970,K. Foran,1725175883,ROO,47,R,,,,,105,,,105
3971,D. Williams,1726036659,UOWG,276,R,93,,,,89,91,,91
3972,K. Coleman,1726215317,DILL,44,R,88,,,,,,,88
3973,V. Froling,1726600579,UCSB,304,L,111,101,,85,108,100,,100
3974,T. Aasland,1726685690,CONN,136,R,91,,,,,,104,96
3975,K. Smith,1727878664,USF,716,R,107,110,106,,,,,107
3976,B. Gregg,1728327009,HOF,425,L,99,94,,,96,109,,99
3977,K. Batt,1728673007,RID,316,R,94,83,,78,101,,,92
3978,C. Kiemele,1729474474,GC,360,L,104,,,114,,93,,105
3979,M. Eichenberger,1729730008,SCUS,421,R,102,112,113,,,,,106
3980,T. Sejnoha,1729825297,DART,264,R,110,,94,,,,,107
3981,A. Blum,1730240294,OHIO,162,L,95,,,,104,,,102
3982,K. Fabian,1730428818,ARPB,344,R,94,94,,,,66,,92
3983,B. Thomas,1731461811,FRES,418,R,86,92,,,,,,89
3984,N. Terhaar,1732016464,IOWA,263,R,106,94,99,106,,115,,104
3985,B. Cox,1732192822,YSU,34,R,115,,,,,,,115
3986,C. Evans,1732381252,LSU,955,R,117,100,106,,112,105,,110
3987,E. Moran,1733404777,WAG,183,R,96,89,,,,,,94
3988,D. Barrera,1733547244,UTRGV,113,R,97,105,,85,,,,97
3989,B. Davis,1733594039,YSU,43,R,90,,,,,,,90
3990,J. Lucas,1734064400,TROY,99,L,104,105,,136,,,,114
3991,S. Yochum,1734191831,DAV,667,R,96,58,,,77,86,,84
3992,D. Gore,1734592669,SPC,45,R,,85,,,,,,85
3993,B. Thomas,1734737661,IND,863,L,103,110,,,112,91,75,105
3994,E. Bobb,1734819968,UOST,73,L,104,,,,,,,104
3995,J. Cackovic,1735366506,UNC,37,R,96,,,,,,,96
3996,B. Williams,1735454487,PV,78,R,91,,,,,,,91
3997,C. Sanders,1735562136,ALST,350,L,93,,89,,,,,92
3998,K. De Los Santos,1735633681,JKST,81,R,89,,,,,,,89
3999,P. OBeirne,1735927420,SAM,231,L,99,,101,,,102,,100
4000,B. McDougal,1735982407,WVU,62,L,109,,,,,,,109
4001,M. Citro,1736281014,HC,130,R,89,89,,,,,,89
4002,D. Duley,1736284645,OAK,64,L,103,,,,,,,103
4003,B. Mitchell,1736433113,BUCK,318,R,89,114,,101,,,,99
4004,D. Griffis,1736443084,GASO,124,R,102,110,96,,,,,102
4005,A. Cook,1736970742,SC,103,L,100,96,,,,,,99
4006,C. Pearce,1738390975,ODU,25,R,127,,,,,,,127
4007,L. Mack,1738764358,TENN,947,R,109,111,94,111,109,91,,107
4008,J. Clayton,1738863185,BYU,214,R,84,90,,,,,,88
4009,B. Chuttey,1738952025,SCUS,81,R,93,,96,,,,,94
4010,R. Marsh,1739343504,HCU,56,R,93,,,,,,,93
4011,R. Oakley,1739369001,MURR,467,R,108,102,93,,117,95,,104
4012,C. Kenyon,1739465215,BEL,188,R,99,101,,,,,,100
4013,D. Mills,1739680781,CLMB,125,R,99,,,,,,,99
4014,K. Morris,1740134086,RICH,204,R,93,110,,97,,,,99
4015,J. Bishop,1740153512,TENN,32,R,,,,,86,,,86
4016,T. Tomlinson,1740367038,WMU,172,R,89,92,,,,,,90
4017,C. Foster,1740630964,MSST,505,L,121,,123,108,,70,,108
4018,M. Goldberg,1740889352,PAC,47,L,90,,,,,,,90
4019,N. Haught,1741213662,RICH,92,R,94,93,,,,,,94
4020,M. Vaisvila,1742320429,NIU,871,L,112,99,,,,86,,103
4021,G. Crum,1742345571,UNCA,364,R,91,101,91,,,,,93
4022,L. Bryant,1742650692,OHIO,211,R,88,,,96,90,,,91
4023,J. Lopez,1743407683,CAL,304,L,103,100,,,,93,,101
4024,M. McDougall,1743523559,JVST,671,R,119,99,95,,,94,,108
4025,J. Nolan,1744527771,MONM,27,R,86,,,,,,,86
4026,N. Kolze,1745680764,PUR,202,R,,104,,,88,,,94
4027,J. Arend,1746626288,XAV,429,L,99,93,96,,103,99,,99
4028,C. Peterson,1746717472,STAN,347,R,101,99,,,,94,,99
4029,G. Smith,1747080880,WSU,495,R,88,98,,100,,101,,94
4030,L. OLeary,1747367988,SJU,1250,R,107,112,106,,,106,,109
4031,G. Smith,1747456537,RICH,493,R,91,96,108,101,,95,,97
4032,C. Whited,1747847013,FSU,437,L,102,106,,,,105,,104
4033,A. Perry,1747963925,BEL,400,L,103,90,110,,,103,,103
4034,S. Duke,1748038861,BEL,305,R,104,97,96,,,112,,102
4035,B. Rice,1748740451,MSM,96,R,99,84,,,,,,93
4036,J. Pazdera,1749400968,QUIN,362,R,106,97,91,,,102,,102
4037,B. Kimball,1749819658,SIU,461,R,113,,101,,,102,100,107
4038,W. Ruppenthal,1749854527,OAK,308,R,98,,98,,,,,98
4039,C. Knier,1750361567,FSU,572,R,120,109,99,,,82,,110
4040,C. Bosch,1750954648,CCAR,581,L,104,102,,,,117,,109
4041,J. Bright,1751186678,NCAT,263,R,88,109,,109,,,,100
4042,E. Jones,1751712863,WAKE,600,R,104,114,101,95,110,,,108
4043,C. taylor,1751779179,VMI,161,R,86,101,,,,,,90
4044,C. Mosier,1752239398,EVAN,44,L,109,,,,,,,109
4045,H. Vincent,1752397689,TXAM,163,L,118,,121,,118,,,119
4046,D. Siciliano,1752457594,SIE,54,R,,89,,,99,,,94
4047,C. Muffoletto,1753330271,NWST,232,R,94,100,94,,90,,,95
4048,R. Henderson,1753346292,UNO,248,R,94,105,,,99,,,99
4049,M. Steinberg,1753672087,MAN,42,R,97,,,,,,,97
4050,K. Graham,1753862210,USA,63,R,96,130,,,,,,115
4051,J. Macintosh,1754049617,SIU,458,R,103,111,,,100,96,,106
4052,C. Lowry,1754243646,TAR,442,R,97,106,101,,99,,,101
4053,J. Villarreal,1754646829,MIZZ,440,L,104,90,,,,107,,101
4054,C. Castles,1754715355,UCI,145,R,108,96,,,106,,,104
4055,A. Bowker,1754761735,UCSD,694,R,89,84,,,93,87,,88
4056,B. Hoar,1754773325,BUCK,788,R,89,84,,,,107,,90
4057,J. Smith,1754794191,SIU,86,L,98,,104,,,,,100
4058,C. Davis,1755811627,MORE,670,R,90,91,85,103,,101,,93
4059,S. Young,1756126753,RICH,175,R,117,115,,,,96,,112
4060,M. Dobbins,1756240918,UTA,81,R,91,,,,,,,91
4061,N. Helman,1756665469,KENN,420,R,125,,,,,,,125
4062,L. Drummond,1756903144,MIA,29,L,102,,,,,,,102
4063,S. Lemke,1757118439,SDSU,134,R,,,,,110,,,110
4064,E. Bauerschmidt,1757197530,PSU,243,R,90,106,102,,94,,,96
4065,M. Stuart,1757207061,WEBB,257,R,96,101,,,97,,,97
4066,C. Dyess,1757221909,NICH,100,R,91,,,,98,,,95
4067,E. Garrett,1757245618,GASO,562,R,100,94,,,,103,,99
4068,G. Jones,1757795451,QUC,349,R,85,98,101,,97,,,93
4069,D. Onorato,1757928158,IONA,98,R,90,,,,,101,,94
4070,K. Rosado,1758205053,UCF,320,L,100,99,,81,,95,,97
4071,E. Stade,1758919833,BGSU,461,L,117,95,,,,80,,109
4072,A. Beard,1759223061,MONM,683,R,89,106,104,,100,104,,98
4073,S. Deering,1759402615,TENN,65,R,115,,,,,,,115
4074,L. Doll,1760080732,MRSH,585,L,119,85,72,,,,,95
4075,J. Kelly,1760168143,SBON,183,R,91,104,107,,,,,97
4076,K. Schoneboom,1760341357,UCF,534,R,88,89,,101,90,90,,92
4077,A. Kribbs,1760692530,CHAR,188,R,112,111,,,,120,,113
4078,C. Fowler,1761133370,AMCC,131,R,99,,92,,,,,97
4079,J. Fipps,1761559350,PV,141,R,82,84,,,,,,83
4080,D. Ruggiero,1761880431,RICH,339,L,102,102,,,,,,102
4081,J. Durso,1761932627,MIA,381,L,110,109,116,,,,,110
4082,J. Kirchhoff,1762069665,MINN,112,R,97,110,,99,,,,101
4083,T. Kester-Johnson,1762301334,PUR,201,L,,97,100,103,98,,,99
4084,K. Holt,1762469018,WKU,482,R,103,,99,98,,,,101
4085,T. Graydon,1762782479,WEBB,57,R,83,,,,,,,83
4086,E. Benton,1763000172,UMES,163,L,100,,,,,,,100
4087,T. Zaffiro,1763374395,LAF,226,R,95,99,,,,,,97
4088,K. King,1763701800,CSN,350,L,96,91,,,106,,,97
4089,C. Fugate,1764024804,GASO,112,R,88,94,,,85,,,88
4090,L. Pokrovsky,1764650045,PENN,232,L,107,,,,,102,,105
4091,D. Grant,1764936158,UCI,309,L,111,98,110,,,,,105
4092,G. Lacourciere,1765177302,HOF,235,R,101,,90,,,105,,100
4093,J. Hoff,1766144448,INST,201,R,108,,,,108,,,108
4094,D. Nelson,1766161395,CLEM,391,R,102,104,103,,108,,,105
4095,R. Allensworth,1766200250,NIAG,200,R,93,103,,108,,,,100
4096,D. Dahl,1767731280,LT,1231,R,118,98,,,,102,,110
4097,D. Cihocki,1767851162,NIU,874,R,100,99,99,,,97,,99
4098,G. Bruno,1768062140,HALL,95,R,102,80,,,,,,96
4099,A. Treto,1769614847,TAR,528,R,100,115,112,,,,,107
4100,S. Franco,1769668118,MRMK,75,L,102,,99,,,,,101
4101,S. Callaway,1770161128,FGCU,93,R,101,,103,,,,,102
4102,B. Foss,1770228146,ARST,350,R,97,100,,,,,,98
4103,A. Rubio,1770915970,SFA,73,R,90,87,,,,,,89
4104,E. Peralta,1771439746,MIA,136,R,91,107,,,118,,,108
4105,J. Berzonski,1771806824,VT,186,L,104,102,,87,,97,,100
4106,C. Bouknight,1771840462,WOF,355,R,90,93,,,,94,,91
4107,B. Rahe,1772075132,KU,641,R,117,,79,,,119,,106
4108,W. Thornbury,1772947108,FRES,417,R,96,105,,104,,96,,99
4109,A. Donovan,1773273294,MSU,1136,R,93,108,99,93,98,107,110,98
4110,E. Rodriguez,1773443221,WSU,216,R,99,,,,96,87,,95
4111,A. Kummer,1773755396,SCUS,414,R,105,100,92,,,,,103
4112,L. Vandegrift,1775073877,AKR,429,R,98,99,,98,,98,,98
4113,D. Alvarez,1775194814,UNM,225,R,81,106,101,,83,,,92
4114,G. Burdick,1775446764,LAM,313,L,113,97,,,,91,,106
4115,W. Bowe,1775520224,UOST,212,L,110,96,,,,,,107
4116,C. McMullen,1775801108,KENN,866,R,96,105,,105,92,108,,98
4117,J. Wingard,1775979946,ALCN,247,R,91,87,96,,,,,91
4118,L. Zaborowski,1776613750,UVU,123,R,95,,114,116,,,,107
4119,T. Groom,1776915495,UNF,62,R,99,,,,102,,,100
4120,S. McGrath,1777028392,CP,486,R,100,112,,,,96,,102
4121,N. Abraham,1777255070,TENN,384,R,,95,89,,99,106,,100
4122,M. Reyes,1777632197,DEL,246,R,91,94,,,86,,,88
4123,B. Cox,1777690168,SEMO,97,R,115,95,,,,,,101
